,id,username,displayname,location,created,followersCount,friendsCount,url,verified,geotext,city,country
67,718603001867476993,RussophilesU,Russophiles Unite! Movie Podcast,"Milton Keynes, United Kingdom",2016-04-09T00:54:41+00:00,3012,4768,https://twitter.com/RussophilesU,False,<geotext.geotext.GeoText object at 0x7f4bdcbe59a0>,Milton Keynes,United Kingdom
69,916415503689830401,KelliMadden80,Kelli Madden,"South Carolina, USA",2017-10-06T21:30:57+00:00,1221,2120,https://twitter.com/KelliMadden80,False,<geotext.geotext.GeoText object at 0x7f4bdcbe5be0>,,United States
70,17409420,evoterra,Evo Terra (he/him) 🧉🌵💉,"Phoenix, AZ",2008-11-15T16:28:34+00:00,6758,1788,https://twitter.com/evoterra,True,<geotext.geotext.GeoText object at 0x7f4bdcbe5d00>,Phoenix,United States
71,6891082,amarksteadman,Mark Steadman,"Birmingham, United Kingdom",2007-06-18T13:13:18+00:00,1873,169,https://twitter.com/amarksteadman,False,<geotext.geotext.GeoText object at 0x7f4bdcbe5d60>,Birmingham,United Kingdom
73,912325529189146624,thesperience,Thesperience Network 🏳️‍🌈🎙,United States,2017-09-25T14:38:51+00:00,418,253,https://twitter.com/thesperience,False,<geotext.geotext.GeoText object at 0x7f4bdcbe5eb0>,,United States
75,3098305770,Alistair_Pitts,Ally Pitts,"Milton Keynes, England",2015-03-19T20:57:37+00:00,1317,4990,https://twitter.com/Alistair_Pitts,False,<geotext.geotext.GeoText object at 0x7f4bdcbe5dc0>,Milton Keynes,United Kingdom
77,1108380658953584640,casperoliverVO,Casper Oliver (they/them)☀️🏳️‍⚧️,United States,2019-03-20T14:51:56+00:00,1645,719,https://twitter.com/casperoliverVO,False,<geotext.geotext.GeoText object at 0x7f4bdcbe5fd0>,,United States
78,1195465742277382145,christobirb,Chrispy🎃,he/they,2019-11-15T22:17:07+00:00,90,340,https://twitter.com/christobirb,False,<geotext.geotext.GeoText object at 0x7f4bdcbe5e50>,,
79,4182902681,signifoliage,significantfoliage,,2015-11-14T01:50:01+00:00,48,1169,https://twitter.com/signifoliage,False,<geotext.geotext.GeoText object at 0x7f4bdcbe5910>,,
82,1625524694,AstraleStella,Yomiel✨,Spain 🇪🇸,2013-07-27T13:49:51+00:00,145,92,https://twitter.com/AstraleStella,False,<geotext.geotext.GeoText object at 0x7f4bdcc64850>,,Spain
83,1130720484847366144,MonsterHourPod,Monster Hour Pod,,2019-05-21T06:22:26+00:00,626,160,https://twitter.com/MonsterHourPod,False,<geotext.geotext.GeoText object at 0x7f4bdcc643a0>,,
87,3220185872,ZeldaKimble,Champagne Problems 🥂,,2015-05-19T09:28:48+00:00,256,280,https://twitter.com/ZeldaKimble,False,<geotext.geotext.GeoText object at 0x7f4bdcc64b20>,,
89,397455632,tehnyit,Tehn Yit Chin,"Köln, Deutschland",2011-10-24T18:22:56+00:00,644,3181,https://twitter.com/tehnyit,False,<geotext.geotext.GeoText object at 0x7f4bdcc64580>,Köln,
91,1383151460704260097,tweetsfromjuice,Juice!,they/them,2021-04-16T20:13:14+00:00,28,83,https://twitter.com/tweetsfromjuice,False,<geotext.geotext.GeoText object at 0x7f4bdcc640a0>,,
96,153349145,stephfuccio,Stephanie Fuccio,United States,2010-06-08T09:24:09+00:00,2423,2784,https://twitter.com/stephfuccio,False,<geotext.geotext.GeoText object at 0x7f4bdcc643d0>,,United States
99,1051212464853925889,pumpkinfrogs,val west,"yknow, the bog?",2018-10-13T20:45:57+00:00,197,222,https://twitter.com/pumpkinfrogs,False,<geotext.geotext.GeoText object at 0x7f4bdcc64370>,,
101,1121896940617125894,DimensionPod,DimensionDoorPodcast,,2019-04-26T22:00:49+00:00,934,897,https://twitter.com/DimensionPod,False,<geotext.geotext.GeoText object at 0x7f4bdcc645b0>,,
103,788584258826665984,LizWilcox79,Elizabeth Wilcox,"Tempe, AZ",2016-10-19T03:35:13+00:00,343,515,https://twitter.com/LizWilcox79,False,<geotext.geotext.GeoText object at 0x7f4bdcc64640>,Tempe,United States
104,730511491049234433,BexGoos,Potato Lady Podcast Reviews,Potato,2016-05-11T21:34:46+00:00,1723,646,https://twitter.com/BexGoos,False,<geotext.geotext.GeoText object at 0x7f4bdcc64760>,,
105,1147171353042280455,5minsdoubt,Five Minutes of Doubt,,2019-07-05T15:52:18+00:00,161,339,https://twitter.com/5minsdoubt,False,<geotext.geotext.GeoText object at 0x7f4bdcc649d0>,,
108,1364305403828342784,HowAboutAStory_,How About A Story Podcast,"Los Angeles, CA",2021-02-23T20:05:58+00:00,85,147,https://twitter.com/HowAboutAStory_,False,<geotext.geotext.GeoText object at 0x7f4bdcc64970>,Los Angeles,United States
115,1064633477621002240,TheIndustry13,The Industry 🇵🇷,"South Florida, USA",2018-11-19T21:36:15+00:00,271,463,https://twitter.com/TheIndustry13,False,<geotext.geotext.GeoText object at 0x7f4bdcc64a00>,,United States
116,1290756385190350850,jarofrebukepod,Jar Of Rebuke Podcast🏳️‍🌈,Midwestern USA,2020-08-04T21:08:06+00:00,876,436,https://twitter.com/jarofrebukepod,False,<geotext.geotext.GeoText object at 0x7f4bdcc64b50>,,United States
118,979771353468489730,thenerdyphoto,Nerdy Photographer Podcast,"New York, NY",2018-03-30T17:24:28+00:00,486,539,https://twitter.com/thenerdyphoto,False,<geotext.geotext.GeoText object at 0x7f4bdcc64be0>,New York,United States
122,1344402723991662598,NightPostPod,The Night Post 💌🏳️‍🌈,,2020-12-30T21:59:28+00:00,301,193,https://twitter.com/NightPostPod,False,<geotext.geotext.GeoText object at 0x7f4bdcc64dc0>,,
123,1245434428958146561,ItsAMusicalPod,It’s A Musical! Podcast,"England, United Kingdom",2020-04-01T19:34:51+00:00,1577,1199,https://twitter.com/ItsAMusicalPod,False,<geotext.geotext.GeoText object at 0x7f4bdcc64e50>,,United Kingdom
125,23214455,sakeriver,Mike Sakasegawa,"San Diego, CA",2009-03-07T17:39:02+00:00,2892,381,https://twitter.com/sakeriver,False,<geotext.geotext.GeoText object at 0x7f4bdcc64ee0>,San Diego,United States
129,343829604,kemp_travis,"Travis Kemp, Future Podcaster-in-Training","Amarillo, TX",2011-07-28T04:18:25+00:00,453,605,https://twitter.com/kemp_travis,False,<geotext.geotext.GeoText object at 0x7f4bdcc64cd0>,Amarillo,United States
130,2729915437,intlpodcastday,International Podcast Day,International,2014-08-13T17:04:21+00:00,17913,9696,https://twitter.com/intlpodcastday,False,<geotext.geotext.GeoText object at 0x7f4bdcc64070>,,
136,2932671107,AbbyAraCUA,Abby 🧢🧡,Catholic University of America,2014-12-19T21:48:53+00:00,451,1078,https://twitter.com/AbbyAraCUA,False,<geotext.geotext.GeoText object at 0x7f4bdce60340>,,
140,128440204,musciguy,Garret Godfrey ☕️📖🎙🎧📚,"Phoenix, AZ",2010-04-01T03:44:17+00:00,473,817,https://twitter.com/musciguy,False,<geotext.geotext.GeoText object at 0x7f4bdcc64d90>,Phoenix,United States
145,1165951796562599936,DemondDoes,Demond Does,,2019-08-26T11:39:28+00:00,236,644,https://twitter.com/DemondDoes,False,<geotext.geotext.GeoText object at 0x7f4bdcb673a0>,,
147,907882038207946752,Kultindustrie,Kulturindustrie,,2017-09-13T08:22:00+00:00,340,5,https://twitter.com/Kultindustrie,False,<geotext.geotext.GeoText object at 0x7f4bdcb67a00>,,
148,1350556417699229698,measurethescore,MeasuringTheScore,,2021-01-16T21:32:10+00:00,665,763,https://twitter.com/measurethescore,False,<geotext.geotext.GeoText object at 0x7f4bdcb67580>,,
149,1087095807633846273,Oz9podcast,Oz 9 podcast,just-left-of-earth,2019-01-20T21:13:32+00:00,3884,5001,https://twitter.com/Oz9podcast,False,<geotext.geotext.GeoText object at 0x7f4bdcb67070>,,
150,3118880899,PodcastsInColor,Podcasts In Color (ran by Berry),"Denver,CO",2015-03-31T00:34:18+00:00,14525,123,https://twitter.com/PodcastsInColor,False,<geotext.geotext.GeoText object at 0x7f4bdcb672b0>,Denver,United States
151,956896030926233600,thefluentshow,Kerstin | The Fluent Show,United Kingdom,2018-01-26T14:26:06+00:00,1872,353,https://twitter.com/thefluentshow,False,<geotext.geotext.GeoText object at 0x7f4bdcb671c0>,,United Kingdom
153,1256610432493780992,HDWNKT,How Did We Not Know That,,2020-05-02T15:44:16+00:00,17,4,https://twitter.com/HDWNKT,False,<geotext.geotext.GeoText object at 0x7f4bdcb67400>,,
155,246276046,kaveinthran,kaveinthran, IpohPerakMalaysia,2011-02-02T13:58:12+00:00,769,5002,https://twitter.com/kaveinthran,False,<geotext.geotext.GeoText object at 0x7f4bdcb676d0>,,
158,1355265221800157184,drinkingdishing,Drinking & Dishing Podcast,,2021-01-29T21:23:13+00:00,701,1157,https://twitter.com/drinkingdishing,False,<geotext.geotext.GeoText object at 0x7f4bdcb67730>,,
160,1101008055783706625,arithisandthat,Arielle Nissenblatt (sounds like 'this and that'),"New York, USA",2019-02-28T06:35:51+00:00,2158,816,https://twitter.com/arithisandthat,False,<geotext.geotext.GeoText object at 0x7f4bdcb67880>,New York,United States
161,1122158386970341377,HealthTalksPod,Health Talks With JD Podcast,"Durham, NC",2019-04-27T15:19:42+00:00,115,222,https://twitter.com/HealthTalksPod,False,<geotext.geotext.GeoText object at 0x7f4bdcb67be0>,Durham,United States
163,821850926243659776,EarbudsPodCol,Earbuds Podcast Collective,"New York, New York",2017-01-18T22:45:04+00:00,4095,815,https://twitter.com/EarbudsPodCol,False,<geotext.geotext.GeoText object at 0x7f4bdcb67910>,New YorkNew York,United States
165,1293438687624257538,need_3_mugs,Not Before Coffee ☕︎ Podcast,,2020-08-12T06:46:39+00:00,3943,3587,https://twitter.com/need_3_mugs,False,<geotext.geotext.GeoText object at 0x7f4bdcb67d60>,,
166,1099383517128130560,elinotabot,Eli,Germany,2019-02-23T19:00:30+00:00,130,546,https://twitter.com/elinotabot,False,<geotext.geotext.GeoText object at 0x7f4bdcb67eb0>,,Germany
176,14259245,CodyLPatterson,Cody L. Patterson 🤘🏻,"Jonesborough, TN",2008-03-30T16:45:37+00:00,119,275,https://twitter.com/CodyLPatterson,False,<geotext.geotext.GeoText object at 0x7f4bdcb670d0>,,United States
184,1228491846013214721,StoriesSandman,Sandman Stories Presents,Republic of Korea,2020-02-15T01:31:09+00:00,1492,1290,https://twitter.com/StoriesSandman,False,<geotext.geotext.GeoText object at 0x7f4bdcb67af0>,,South Korea
190,1291505672543252481,WeWatchBadFilms,Gary & Jay 👥👁 ❌🎥🎙️,England,2020-08-06T22:45:31+00:00,165,231,https://twitter.com/WeWatchBadFilms,False,<geotext.geotext.GeoText object at 0x7f4bdcba6970>,,United Kingdom
192,883239798835744768,btlpodcast,Beware of the Leopard,ZZ9 Plural Z Alpha,2017-07-07T08:22:32+00:00,341,188,https://twitter.com/btlpodcast,False,<geotext.geotext.GeoText object at 0x7f4bdcba6520>,,
193,21132753,Johnny2Tone,JohnCraig (he/they) BLM,"Chicago, IL",2009-02-17T21:29:02+00:00,785,509,https://twitter.com/Johnny2Tone,False,<geotext.geotext.GeoText object at 0x7f4bdcba60a0>,Chicago,United States
197,794274735572090880,dotNetCoreShow,dotnetcore.show,,2016-11-03T20:27:08+00:00,3166,245,https://twitter.com/dotNetCoreShow,False,<geotext.geotext.GeoText object at 0x7f4bdcba6f70>,,
198,817863617181839360,wafflingTaylors,The Waffling Taylors,Cakeland & Waffling Taylors HQ,2017-01-07T22:40:56+00:00,249,151,https://twitter.com/wafflingTaylors,False,<geotext.geotext.GeoText object at 0x7f4bdcba6d30>,,
200,1244885475372007424,podcasterJay,podcasterJay,"Leeds, UK",2020-03-31T07:13:29+00:00,243,77,https://twitter.com/podcasterJay,False,<geotext.geotext.GeoText object at 0x7f4bdcba6be0>,Leeds,United Kingdom
236,923109194038833152,_PablocastroPR,Pablo Castro PR (Gideon Nwani),Nigeria,2017-10-25T08:49:17+00:00,2375,3176,https://twitter.com/_PablocastroPR,False,<geotext.geotext.GeoText object at 0x7f4bdcba64c0>,,Nigeria
237,1251994042994393093,OffTheBeatenPod,Off The Beaten Podcast,"Chicago, IL",2020-04-19T22:00:29+00:00,171,418,https://twitter.com/OffTheBeatenPod,False,<geotext.geotext.GeoText object at 0x7f4bdcba66a0>,Chicago,United States
238,30298440,Dionsmusica,Dion McGill - Podcast Host,"Chicago, IL",2009-04-10T19:59:14+00:00,1145,2753,https://twitter.com/Dionsmusica,False,<geotext.geotext.GeoText object at 0x7f4bdcba6280>,Chicago,United States
254,1104380581817782273,StorytellPod,Story of a Storyteller - Podcast,"Dublin City, Ireland",2019-03-09T13:57:03+00:00,813,742,https://twitter.com/StorytellPod,False,<geotext.geotext.GeoText object at 0x7f4bdcba63d0>,,Ireland
264,1369546442809937920,octoberandfish,October Jones & Fish With Legs Podcast,Canada,2021-03-10T07:14:25+00:00,16,21,https://twitter.com/octoberandfish,False,<geotext.geotext.GeoText object at 0x7f4bdcba6610>,,Canada
271,1685091,epodcaster,🟣 Jennifer Navarrete,"San Antonio, TX",2007-03-20T23:16:07+00:00,4917,3895,https://twitter.com/epodcaster,False,<geotext.geotext.GeoText object at 0x7f4bdcba69d0>,San Antonio,United States
273,101902582,AfterDarkMarcel,x - Marcel Myrick - #StayatHome and #StaySafe,New York,2010-01-05T00:14:20+00:00,1479,5001,https://twitter.com/AfterDarkMarcel,False,<geotext.geotext.GeoText object at 0x7f4bdcba69a0>,New York,United States
281,1201316729135206400,DungeonDadsPod,The Dungeon Dads,Everywhere.,2019-12-02T01:46:53+00:00,1028,469,https://twitter.com/DungeonDadsPod,False,<geotext.geotext.GeoText object at 0x7f4bdcba6c10>,,
291,1166229031,dustin_holden,Dustin Can Read!,,2013-02-10T15:32:38+00:00,527,420,https://twitter.com/dustin_holden,False,<geotext.geotext.GeoText object at 0x7f4bdcba6eb0>,,
341,1065402848408670209,BlackCaseDiary,The BCD TV/Film History Podcast,"Columbus, OH",2018-11-22T00:33:28+00:00,2785,2204,https://twitter.com/BlackCaseDiary,False,<geotext.geotext.GeoText object at 0x7f4bdcba68e0>,Columbus,United States
349,1267168296270540801,PodcastOverhaul,Podcast Overhaul,"Florida, USA",2020-05-31T18:57:27+00:00,2019,943,https://twitter.com/PodcastOverhaul,False,<geotext.geotext.GeoText object at 0x7f4bdcba6fd0>,Florida,United States
354,1061996009193013250,PeachGardenRPGs,Peach Garden Games,"Alberta, Canada",2018-11-12T14:55:54+00:00,346,185,https://twitter.com/PeachGardenRPGs,False,<geotext.geotext.GeoText object at 0x7f4bdcba6880>,,Canada
355,25561115,laughs1,"Standup Comedy ""Your Host & MC""","Sacramento, CA 95831",2009-03-20T19:37:13+00:00,69,39,https://twitter.com/laughs1,False,<geotext.geotext.GeoText object at 0x7f4bdcba6cd0>,Sacramento,United States
358,1289288065366859776,Keganexe,KeganExe - Buy In Extremis Today,state of denial,2020-07-31T19:53:42+00:00,547,617,https://twitter.com/Keganexe,False,<geotext.geotext.GeoText object at 0x7f4c0813f970>,,
361,564226435,devika_raina,Devika Raina,,2012-04-27T02:23:38+00:00,176,549,https://twitter.com/devika_raina,False,<geotext.geotext.GeoText object at 0x7f4c0813f8b0>,,
363,1285233324546547712,oklahomacidepod,Oklahomacidepod,Oklahoma,2020-07-21T15:50:07+00:00,2689,2267,https://twitter.com/oklahomacidepod,False,<geotext.geotext.GeoText object at 0x7f4c0813f640>,Oklahoma,United States
367,1343246321046736896,WNMTKpod,WE'RE NOT MEANT TO KNOW - horror anthology pod,,2020-12-27T17:24:31+00:00,190,199,https://twitter.com/WNMTKpod,False,<geotext.geotext.GeoText object at 0x7f4bdcb27280>,,
368,1097602766833373184,capunderstands,I Understood That Reference!,Ire,2019-02-18T21:04:26+00:00,2607,1929,https://twitter.com/capunderstands,False,<geotext.geotext.GeoText object at 0x7f4bdcb27a60>,,
371,1331283120633630720,tmml2021,Thief's Monthly Movie Loot,Puerto Rico,2020-11-24T17:06:54+00:00,414,628,https://twitter.com/tmml2021,False,<geotext.geotext.GeoText object at 0x7f4bdcb27520>,,United States
372,1309868857193107458,TJOHPodcast,The Joy Of Horror Podcast,"Texas, USA",2020-09-26T14:54:12+00:00,31,23,https://twitter.com/TJOHPodcast,False,<geotext.geotext.GeoText object at 0x7f4bdcb27400>,Texas,United States
378,715245236650434561,FSWRadio,Faking Star Wars Radio,Exegol,2016-03-30T18:32:07+00:00,735,602,https://twitter.com/FSWRadio,False,<geotext.geotext.GeoText object at 0x7f4bdcb270a0>,,
379,2327431026,SceneNNerd,Scene N Nerd #Podcast,United States,2014-02-04T17:08:01+00:00,2936,2626,https://twitter.com/SceneNNerd,False,<geotext.geotext.GeoText object at 0x7f4bdcb27fd0>,,United States
382,22023502,MrAsquith,"Mark Asquith, That British Podcast Guy",United Kingdom,2009-02-26T15:51:10+00:00,7790,848,https://twitter.com/MrAsquith,True,<geotext.geotext.GeoText object at 0x7f4bdcb27a00>,,United Kingdom
385,1377723181809684492,ShowBks,TheBKSShow,"Philadlephia, PA",2021-04-01T20:43:12+00:00,623,533,https://twitter.com/ShowBks,False,<geotext.geotext.GeoText object at 0x7f4bdcb273a0>,,United States
406,1309919469440040961,ttjourneys,The Tabletop Journeys Podcast,United States,2020-09-26T18:15:21+00:00,1359,2688,https://twitter.com/ttjourneys,False,<geotext.geotext.GeoText object at 0x7f4bdcb27100>,,United States
408,1267666040718159872,StoriesMalaysia,Malaysian Stories,Malaysia,2020-06-02T03:55:41+00:00,83,43,https://twitter.com/StoriesMalaysia,False,<geotext.geotext.GeoText object at 0x7f4bdcb272e0>,,Malaysia
412,1019959127332835328,slacklineprodu2,Slackline Productions,"London, England",2018-07-19T14:56:20+00:00,1828,1526,https://twitter.com/slacklineprodu2,False,<geotext.geotext.GeoText object at 0x7f4bdcb27310>,London,United Kingdom
413,1266920251825860608,TheLastTapestry,The Last Tapestry,Astoria Heights,2020-05-31T02:31:51+00:00,670,355,https://twitter.com/TheLastTapestry,False,<geotext.geotext.GeoText object at 0x7f4bdcb272b0>,,
415,727726394088787968,talesftfandom,Tales from the Fandom Podcast,"Orlando, FL",2016-05-04T05:07:47+00:00,1999,1126,https://twitter.com/talesftfandom,False,<geotext.geotext.GeoText object at 0x7f4bdcb273d0>,Orlando,United States
417,778046710731804674,dbcrema_author,DB Crema,,2016-09-20T01:42:46+00:00,102,535,https://twitter.com/dbcrema_author,False,<geotext.geotext.GeoText object at 0x7f4bdcb27730>,,
425,1238218302863937537,ghosts_train,Ghosts On A Train,Shattered Isles,2020-03-12T21:40:36+00:00,223,210,https://twitter.com/ghosts_train,False,<geotext.geotext.GeoText object at 0x7f4bdcb27790>,,
427,2243215248,PhilSherwoodVO,Philomena,"Ontario, Canada",2013-12-13T02:19:39+00:00,260,203,https://twitter.com/PhilSherwoodVO,False,<geotext.geotext.GeoText object at 0x7f4bdcb27a30>,Ontario,Canada
429,3776727687,LinkVoximilian,Link Voximilian,Fódlan,2015-09-26T01:16:31+00:00,1081,1065,https://twitter.com/LinkVoximilian,False,<geotext.geotext.GeoText object at 0x7f4bdcb27a90>,,
431,1267837192757481473,TweetsAheadCast,Tweets Ahead Podcast 🎙️,Ireland,2020-06-02T15:15:36+00:00,432,556,https://twitter.com/TweetsAheadCast,False,<geotext.geotext.GeoText object at 0x7f4bdcb27ca0>,,Ireland
442,36387222,talkradiox,TalkRadioX,Everywhere,2009-04-29T15:38:52+00:00,733,1030,https://twitter.com/talkradiox,False,<geotext.geotext.GeoText object at 0x7f4bdcb27af0>,,
444,1327774877504462853,VAPonYouTube,The Villain's Advocate Podcast,,2020-11-15T00:46:25+00:00,69,141,https://twitter.com/VAPonYouTube,False,<geotext.geotext.GeoText object at 0x7f4bdcb27c40>,,
445,1345160324496896002,TurbulentBookw1,Turbulent Bookworm Podcasts,,2021-01-02T00:10:54+00:00,175,229,https://twitter.com/TurbulentBookw1,False,<geotext.geotext.GeoText object at 0x7f4bdcb27c70>,,
463,35758116,JTTG,JTTG is close to finishing 13 Sentinels,"Oxford, UK",2009-04-27T14:44:21+00:00,422,605,https://twitter.com/JTTG,False,<geotext.geotext.GeoText object at 0x7f4bdcb27f40>,Oxford,United Kingdom
467,1278016484623749120,TBHalflings,Three Black Halflings,All Podcasting Locations,2020-06-30T17:25:40+00:00,3838,1186,https://twitter.com/TBHalflings,False,<geotext.geotext.GeoText object at 0x7f4bdcb27fa0>,,
469,109601136,CJAggett,CJAggers - Author & WCCS host,"Wales, United Kingdom",2010-01-29T16:26:42+00:00,3571,2563,https://twitter.com/CJAggett,False,<geotext.geotext.GeoText object at 0x7f4bdcb27eb0>,,United Kingdom
488,7871702,JoselinMane,🟣 Joselin Mane,"Boston, Ma",2007-08-01T05:46:11+00:00,15825,11655,https://twitter.com/JoselinMane,True,<geotext.geotext.GeoText object at 0x7f4bdcb27610>,Boston,
